* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
20.000000	63.333333
20.290907	63.333333
20.586045	63.330969
20.885476	63.313473
21.189262	63.295724
21.497467	63.281527
21.810155	63.269178
22.127391	63.256650
22.449241	63.243921
22.775773	63.230879
23.107054	63.217648
23.443154	63.204224
23.784142	63.191766
24.130091	63.179388
24.481071	63.166829
24.837156	63.154045
25.198421	63.140972
25.564940	63.127709
25.936791	63.114253
26.314050	63.102000
26.696797	63.089592
27.085111	63.077004
27.479073	63.064527
27.878765	63.052212
28.284271	63.039718
28.695675	63.027042
29.113064	63.014044
29.536523	63.000848
29.966142	62.987460
30.402009	62.974279
30.844217	62.961143
31.292856	62.947816
31.748021	62.934743
32.209807	62.922454
32.678309	62.909986
33.153626	62.897337
33.635857	62.884388
34.125101	62.871220
34.621462	62.857861
35.125043	62.844992
35.635949	62.832674
36.154286	62.820176
36.680162	62.807496
37.213687	62.794492
37.754973	62.781293
38.304131	62.767901
38.861278	62.755236
39.426528	62.742888
40.000000	62.730360
40.581813	62.717632
41.172089	62.704590
41.770951	62.691360
42.378524	62.677936
42.994934	62.664837
43.620309	62.651666
44.254781	62.638303
44.898482	62.625457
45.551545	62.613135
46.214108	62.600634
46.886308	62.587951
47.568285	62.574940
48.260181	62.561737
48.962142	62.548342
49.674312	62.535701
50.396842	62.523349
51.129881	62.510818
51.873582	62.498199
52.628101	62.485940
53.393594	62.473502
54.170222	62.460884
54.958146	62.447990
55.757531	62.434855
56.568542	62.421528
57.391351	62.408207
58.226127	62.395131
59.073046	62.381864
59.932283	62.368407
60.804018	62.356174
61.688433	62.343762
62.585712	62.331171
63.496042	62.318702
64.419613	62.306384
65.356618	62.293886
66.307252	62.281207
67.271713	62.268203
68.250203	62.255005
69.242925	62.241614
70.250086	62.228440
71.271897	62.215301
72.308571	62.201970
73.360323	62.188658
74.427374	62.175578
75.509945	62.162308
76.608262	62.148873
77.722555	62.136637
78.853056	62.124222
80.000000	62.111627
81.163627	62.098776
82.344179	62.085665
83.541903	62.072363
84.757048	62.059131
85.989867	62.046865
87.240619	62.034421
88.509563	62.021796
89.796964	62.008889
91.103091	61.995746
92.428216	61.982412
93.772615	61.969384
95.136569	61.957089
96.520362	61.944614
97.924283	61.931959
99.348625	61.918997
100.793684	61.905823
102.259762	61.892457
103.747164	61.879632
105.256202	61.867307
106.787188	61.854803
108.340444	61.842117
109.916292	61.829100
111.515061	61.815894
113.137085	61.802495
114.782702	61.789875
116.452255	61.777521
118.146092	61.764986
119.864566	61.752375
121.608036	61.740112
123.376866	61.727672
125.171424	61.715050
126.992084	61.702151
128.839227	61.689012
130.713236	61.675682
132.614504	61.662369
134.543426	61.649290
136.500406	61.636020
138.485850	61.622583
140.500173	61.610347
142.543795	61.597933
144.617142	61.585338
146.720647	61.572488
148.854748	61.559377
151.019890	61.546075
153.216525	61.533280
155.445111	61.523410
157.706112	61.513397
160.000000	61.503238
162.327254	61.492932
164.688358	61.488248
167.083805	61.484636
169.514095	61.480972
171.979734	61.477254
174.481237	61.473482
177.019125	61.469655
179.593928	61.465773
182.206182	61.461834
184.856431	61.457838
187.545230	61.453784
190.273138	61.449670
193.040725	61.449167
195.848567	61.453235
198.697250	61.457363
201.587368	61.461551
204.519524	61.465800
207.494329	61.470111
210.512403	61.474484
213.574377	61.478921
216.680888	61.483423
219.832584	61.487990
223.030122	61.495373
226.274170	61.509339
229.565404	61.523509
232.904509	61.537957
236.292183	61.552920
239.729132	61.568101
243.216073	61.584532
246.753732	61.603690
250.342848	61.623148
253.984168	61.644170
257.678453	61.665496
261.426473	61.688771
265.229008	61.712234
